原材料名称,品类,采购单价,月使用量,总成本,损耗率(%),损耗原因,采购批次,损耗成本
优质钢材A,主料,4500,120,540000,3.91,过期报废,批次1,21114.0
优质钢材A,主料,4500,120,540000,5.85,存储不当,批次2,31590.0
优质钢材A,主料,4500,120,540000,2.3,质量问题,批次3,12420.0
铝合金型材,主料,2800,85,238000,8.07,存储不当,批次1,19206.6
铝合金型材,主料,2800,85,238000,7.38,存储不当,批次2,17564.4
铝合金型材,主料,2800,85,238000,3.59,存储不当,批次3,8544.2
铜材,主料,6200,45,279000,5.43,存储不当,批次1,15149.7
铜材,主料,6200,45,279000,3.15,存储不当,批次2,8788.5
铜材,主料,6200,45,279000,5.49,运输破损,批次3,15317.1
不锈钢板,主料,3800,95,361000,4.65,加工工艺,批次1,16786.5
不锈钢板,主料,3800,95,361000,5.76,存储不当,批次2,20793.6
不锈钢板,主料,3800,95,361000,7.25,过期报废,批次3,26172.5
塑料颗粒,主料,1200,200,240000,4.61,存储不当,批次1,11064.0
塑料颗粒,主料,1200,200,240000,5.33,存储不当,批次2,12792.0
塑料颗粒,主料,1200,200,240000,1.94,质量问题,批次3,4656.0
橡胶原料,主料,1800,150,270000,6.91,存储不当,批次1,18657.0
橡胶原料,主料,1800,150,270000,6.82,存储不当,批次2,18414.0
橡胶原料,主料,1800,150,270000,7.11,质量问题,批次3,19197.0
玻璃原片,主料,2200,110,242000,4.62,质量问题,批次1,11180.4
玻璃原片,主料,2200,110,242000,3.49,存储不当,批次2,8445.8
玻璃原片,主料,2200,110,242000,5.41,存储不当,批次3,13092.2
电子元件,主料,3500,75,262500,4.81,存储不当,批次1,12626.25
电子元件,主料,3500,75,262500,3.19,运输破损,批次2,8373.75
电子元件,主料,3500,75,262500,9.19,运输破损,批次3,24123.75
精密轴承,主料,4800,60,288000,2.67,运输破损,批次1,7689.6
精密轴承,主料,4800,60,288000,7.15,运输破损,批次2,20592.0
精密轴承,主料,4800,60,288000,5.23,存储不当,批次3,15062.4
